"DATE","DESCRIPTION","AMOUNT","ID","MEMO","CURRENT BALANCE"
"07/05/2022","WITHDRAWAL ATM 0704 1649 158460 420 MIDDLESEX RD        TYNGSBORO    MA","-$103.25","VQBWAFMAMABIAFIAbwBiADgASQBCAGYAUAA2AFMAKwA2AGgAZgBwAE0AZwA9AD0A","","$24,489.86"
"07/05/2022","DB DEBIT - 7-04-2022, APPLE.COM/BILL           866-712-7753 CA,AUTH# 611153 DEBIT CARD DEBIT","-$7.99","VgAvAEcAYgBEAG0AMgBOAE0AVQBRAE4AagB3AEwAQQBUAGoAVgBkAEoAZwA9AD0A","","$24,593.11"
"07/05/2022","TRANSFER TO MBR 5136510 ACCT 5 MONTHLY TRANSFER TO FREE CHECKING - ","-$56.16","eQA4AHYANQBYAEYAaQBoAGEASQBTAGMAOQBwADEAcAAxAFIARwBQAGkAQQA9AD0A","NISSAN INSURANCE","$24,601.10"
"07/01/2022","DB DEBIT - 7-01-2022, AKAMAI TECHNOLOGIES, IN  617-444-3000 MA,AUTH# 659342 DEBIT CARD DEBIT","-$5.00","NQAvAGIAdQBsADkAOABMADQAYQB3ADcANgAxAFAAKwBXAGoAYQBlAHoAQQA9AD0A","","$24,657.26"
"06/30/2022","INC TAX - INCOME TAX WITHHOLDING INCOME TAX WITHHOLDING","-$0.92","UABXAEgAYwBOAGIAYwBqADYARwAvAFkARgAxAGEAQgB4AFUANABoAEEAQQA9AD0A","","$24,662.26"
"06/30/2022","DIVIDEND","$3.84","awBGAFIARQBwADYAQwBOADcAMgA1AGUASgA5AHYARgBJAEwAaAA2AE0AZwA9AD0A","","$24,663.18"
"06/29/2022","ELECTRONIC DEPOSIT - AGENUS INC      DIRECT DEP220701","$1,279.42","eABuAEwARQA0ADIANwAvADcARgBsAHYAeQA5AGMARgBsAG8AZgBFAG8AZwA9AD0A","","$24,659.34"
"06/29/2022","WITHDRAWAL ATM 0629 1123 399064 33 COLISEUM AVE         NASHUA       NH","-$23.50","SgA5AFYAOAAxAHkAYgA4AEMASwBZAFYAbABmAFoAYgB0AGwAWQAyAFMAZwA9AD0A","","$23,379.92"
"06/27/2022","WITHDRAWAL POS 0627 1559 275833 WENDYS                  NASHUA       NH","-$13.76","UAB1AEoAagBOAFcARQBPADgARgA0AGoAOABRAHgAKwBZAEwAaABEAFcAdwA9AD0A","","$23,403.42"
"06/27/2022","WITHDRAWAL ATM 0627 1544 268025 420 MIDDLESEX RD        TYNGSBORO    MA","-$63.25","NwBMADYAVwA4ADkASABFAFgAKwBMAGgAMwAzAFcAVgBpAC8AcgAzAHYAQQA9AD0A","","$23,417.18"
"06/27/2022","DB DEBIT - 6-26-2022, CHIPOTLE 1421            WEST HARTFORDCT,AUTH# 677124 DEBIT CARD DEBIT","-$9.82","VQBWAGwAeQAyAHEANwBYAFUAYgAxAEEAQQBNAGwAYQBzAEMAMABpAEcAdwA9AD0A","","$23,480.43"
